序号,实词,释义与经典例句
1,安,①怎么，哪里 ②养，奉养 ③安定，安稳 ④安全，平安 ⑤安逸，舒适 ⑥怎么，哪里 ⑦怎么，哪里 ⑧怎么，哪里 ⑨怎么，哪里 ⑩怎么，哪里
2,比,①靠近，挨着 其两膝相比者，各隐卷底衣褶中 《核舟记》；比吾乡邻之死则已后矣 《捕蛇者说》②比较，相比 比其反也，则冻馁其妻 《捕蛇者说》③及，等到 比至陈，车六七百乘，骑千余 《陈涉世家》
3,兵,①兵器，武器 兵革非不坚利也 《天时不如地利》②军队 扶苏以数谏故，上使外将兵 《陈涉世家》；葛婴将兵徇蕲以东 《陈涉世家》③兵士 行收兵 《陈涉世家》
4,病,①疾病，生病 未果，寻病终 《桃花源记》；向吾不为斯役，则久已病矣 《捕蛇者说》②困苦，困乏 则久已病矣 《捕蛇者说》③担心，忧虑 君子病无能焉，不病人之不己知也 《论语》④辱，耻辱 圣人非所与熙也，寡人反取病焉！ 《橘逾淮为枳》
5,察,①明察，考察，考核 小大之狱，虽不能察，必以情 《曹刿论战》②观察，仔细看 以咨诹善道，察纳雅言 《出师表》；徐而察之，则山下皆石穴罅 《石钟山记》
6,彻,贯通，穿透 日光下彻，影布石上 《小石潭记》；汝心之固，固不可彻 《愚公移山》
7,乘,①坐，驾 公与之乘，战于长勺 《曹刿论战》；乘犊车，从吏卒 《周处》②趁着，凭借 自京师乘风雪，历齐河、长清 《登泰山记》；因利乘便，宰割天下 《过秦论》③量词，辆 车六七百乘，骑千余，卒数万人 《陈涉世家》
8,从,①跟从，跟随 从先人还家，于舅家见之 《伤仲永》；战则请从 《曹刿论战》；一狼得骨止，一狼仍从 《狼》；太守归而宾客从也 《醉翁亭记》②听从，顺从 小惠未遍，民弗从也 《曹刿论战》；从民欲也 《陈涉世家》③自，由 乃大惊，问所从来 《桃花源记》；从口入，初极狭，才通人 《桃花源记》
9,当,①在（某时、某处） 陈康肃公尧咨善射，当世无双 《卖油翁》；咨臣以当世之事 《出师表》；当此时，诸郡县苦秦吏者 《陈涉世家》；当其南北分者，古长城也 《登泰山记》②占着，挡着 崖限当道者，世皆谓之天门云 《登泰山记》③对着，面对 僻不当道者，皆不及往 《登泰山记》；当窗理云鬓，对镜帖花黄 《木兰诗》④应当，应该 吾闻二世少子也，不当立 《陈涉世家》；今当远离，临表涕零 《出师表》；当奖率三军，北定中原 《出师表》
10,道,①道路 伐竹取道，下见小潭，水尤清冽 《小石潭记》；会天大雨，道不通，度已失期 《陈涉世家》；先帝创业未半，而中道崩殂 《出师表》②道理，规律 以咨诹善道，察纳雅言 《出师表》；得道多助，失道寡助 《天时不如地利》；策之不以其道 《马说》③说，讲 此中人语云：“不足为外人道也。” 《桃花源记》；何可胜道也哉 《石钟山记》④方法，办法 以咨诹善道，察纳雅言 《出师表》；行军用兵之道 《出师表》
11,得,①得到，获得 争而不得，不可谓强 《公输》；一狼得骨止 《狼》；然得而腊之以为饵 《捕蛇者说》；遂迷，不复得路 《桃花源记》；卒买鱼烹食，得鱼腹中书 《陈涉世家》②看到，看见 林尽水源，便得一山 《桃花源记》；见渔人，乃大惊，问所从来 《桃花源记》③领会，理解 得之心而寓之酒也 《醉翁亭记》；吾不得而见之矣 《黄生借书说》④抓到，捕获 然得而腊之以为饵 《捕蛇者说》；一狼得骨止 《狼》⑤照到，照射 日光下彻，影布石上，佁然不动 《小石潭记》⑥能够，可以 吾不得而见之矣 《黄生借书说》；虽鸡狗不得宁焉 《捕蛇者说》；其龌龊亦耐不得 《潍县署中寄舍弟墨第一书》⑦合适，适当 必能使行阵和睦，优劣得所 《出师表》
12,定,①平定 北定中原，庶竭驽钝 《出师表》；今南方已定，兵甲已足 《出师表》②安定，稳定 天下已定，始皇之心，自以为关中之固 《过秦论》；行阵和睦，优劣得所 《出师表》③决定，确定 计未定，求人可使报秦者 《廉颇蔺相如列传》；愿陛下托臣以讨贼兴复之效，不效，则治臣之罪 《出师表》
13,伐,①砍伐 伐竹取道，下见小潭，水尤清冽 《小石潭记》；斯是陋室，惟吾德馨 《陋室铭》②攻打，征伐，讨伐 十年春，齐师伐我 《曹刿论战》；以至仁伐至不仁 《天时不如地利》；伐无道，诛暴秦 《陈涉世家》
14,犯,①侵害，危害 并皆暴犯百姓 《周处》；触风雨，犯寒暑，呼嘘毒疠 《捕蛇者说》②冒着 触风雨，犯寒暑，呼嘘毒疠 《捕蛇者说》；盖一岁之犯死者二焉 《捕蛇者说》③触犯，违犯 若有作奸犯科及为忠善者 《出师表》；犯禁者斩 《史记》
